"V1" "V2"
"76" -0.375519375 -4.11995625
"77" -0.373353584 -4.11848672
"78" -0.371188511 -4.11701713
"79" -0.369024156 -4.11554748
"80" -0.366860519 -4.11407777
"81" -0.3646976 -4.112608
"82" -0.362535399 -4.11113817
"83" -0.360373916 -4.10966828
"84" -0.358213151 -4.10819833
"85" -0.356053104 -4.10672832
"86" -0.353893775 -4.10525825
"87" -0.351735164 -4.10378812
"88" -0.349577271 -4.10231793
"89" -0.347420096 -4.10084768
"90" -0.345263639 -4.09937737
"91" -0.3431079 -4.097907
"92" -0.340952879 -4.09643657
"93" -0.338798576 -4.09496608
"94" -0.336644991 -4.09349553
"95" -0.334492124 -4.09202492
"96" -0.332339975 -4.09055425
"97" -0.330188544 -4.08908352
"98" -0.328037831 -4.08761273
"99" -0.325887836 -4.08614188
"100" -0.323738559 -4.08467097
"101" -0.32159 -4.0832
"102" -0.319442159 -4.08172897
"103" -0.317295036 -4.08025788
"104" -0.315148631 -4.07878673
"105" -0.313002944 -4.07731552
"106" -0.310857975 -4.07584425
"107" -0.308713724 -4.07437292
"108" -0.306570191 -4.07290153
"109" -0.304427376 -4.07143008
"110" -0.302285279 -4.06995857
"111" -0.3001439 -4.068487
"112" -0.298003239 -4.06701537
"113" -0.295863296 -4.06554368
"114" -0.293724071 -4.06407193
"115" -0.291585564 -4.06260012
"116" -0.289447775 -4.06112825
"117" -0.287310704 -4.05965632
"118" -0.285174351 -4.05818433
"119" -0.283038716 -4.05671228
"120" -0.280903799 -4.05524017
"121" -0.2787696 -4.053768
"122" -0.276636119 -4.05229577
"123" -0.274503356 -4.05082348
"124" -0.272371311 -4.04935113
"125" -0.270239984 -4.04787872
"126" -0.268109375 -4.04640625
"127" -0.265979484 -4.04493372
"128" -0.263850311 -4.04346113
"129" -0.261721856 -4.04198848
"130" -0.259594119 -4.04051577
"131" -0.2574671 -4.039043
"132" -0.255340799 -4.03757017
"133" -0.253215216 -4.03609728
"134" -0.251090351 -4.03462433
"135" -0.248966204 -4.03315132
"136" -0.246842775 -4.03167825
"137" -0.244720064 -4.03020512
"138" -0.242598071 -4.02873193
"139" -0.240476796 -4.02725868
"140" -0.238356239 -4.02578537
"141" -0.2362364 -4.024312
"142" -0.234117279 -4.02283857
"143" -0.231998876 -4.02136508
"144" -0.229881191 -4.01989153
"145" -0.227764224 -4.01841792
"146" -0.225647975 -4.01694425
"147" -0.223532444 -4.01547052
"148" -0.221417631 -4.01399673
"149" -0.219303536 -4.01252288
"150" -0.217190159 -4.01104897
"151" -0.2150775 -4.009575
"152" -0.212965559 -4.00810097
"153" -0.210854336 -4.00662688
"154" -0.208743831 -4.00515273
"155" -0.206634044 -4.00367852
"156" -0.204524975 -4.00220425
"157" -0.202416624 -4.00072992
"158" -0.200308991 -3.99925553
"159" -0.198202076 -3.99778108
"160" -0.196095879 -3.99630657
"161" -0.1939904 -3.994832
"162" -0.191885639 -3.99335737
"163" -0.189781596 -3.99188268
"164" -0.187678271 -3.99040793
"165" -0.185575664 -3.98893312
"166" -0.183473775 -3.98745825
"167" -0.181372604 -3.98598332
"168" -0.179272151 -3.98450833
"169" -0.177172416 -3.98303328
"170" -0.175073399 -3.98155817
"171" -0.1729751 -3.980083
"172" -0.170877519 -3.97860777
"173" -0.168780656 -3.97713248
"174" -0.166684511 -3.97565713
"175" -0.164589084 -3.97418172
"176" -0.162494375 -3.97270625
"177" -0.160400384 -3.97123072
"178" -0.158307111 -3.96975513
"179" -0.156214556 -3.96827948
"180" -0.154122719 -3.96680377
"181" -0.1520316 -3.965328
"182" -0.149941199 -3.96385217
"183" -0.147851516 -3.96237628
"184" -0.145762551 -3.96090033
"185" -0.143674304 -3.95942432
"186" -0.141586775 -3.95794825
"187" -0.139499964 -3.95647212
"188" -0.137413871 -3.95499593
"189" -0.135328496 -3.95351968
"190" -0.133243839 -3.95204337
"191" -0.1311599 -3.950567
"192" -0.129076679 -3.94909057
"193" -0.126994176 -3.94761408
"194" -0.124912391 -3.94613753
"195" -0.122831324 -3.94466092
"196" -0.120750975 -3.94318425
"197" -0.118671344 -3.94170752
"198" -0.116592431 -3.94023073
"199" -0.114514236 -3.93875388
"200" -0.112436759 -3.93727697
"201" -0.11036 -3.9358
"202" -0.108283959 -3.93432297
"203" -0.106208636 -3.93284588
"204" -0.104134031 -3.93136873
"205" -0.102060144 -3.92989152
"206" -0.099986975 -3.92841425
"207" -0.097914524 -3.92693692
"208" -0.095842791 -3.92545953
"209" -0.093771776 -3.92398208
"210" -0.091701479 -3.92250457
"211" -0.0896319000000001 -3.921027
"212" -0.087563039 -3.91954937
"213" -0.0854948960000001 -3.91807168
"214" -0.083427471 -3.91659393
"215" -0.0813607640000001 -3.91511612
"216" -0.0792947750000001 -3.91363825
"217" -0.077229504 -3.91216032
"218" -0.075164951 -3.91068233
"219" -0.0731011160000001 -3.90920428
"220" -0.071037999 -3.90772617
"221" -0.0689756000000001 -3.906248
"222" -0.066913919 -3.90476977
"223" -0.0648529560000001 -3.90329148
"224" -0.062792711 -3.90181313
"225" -0.060733184 -3.90033472
"226" -0.058674375 -3.89885625
"227" -0.0566162840000001 -3.89737772
"228" -0.054558911 -3.89589913
"229" -0.052502256 -3.89442048
"230" -0.050446319 -3.89294177
"231" -0.0483911000000001 -3.891463
"232" -0.0463365990000001 -3.88998417
"233" -0.0442828160000001 -3.88850528
"234" -0.042229751 -3.88702633
"235" -0.040177404 -3.88554732
"236" -0.038125775 -3.88406825
"237" -0.036074864 -3.88258912
"238" -0.034024671 -3.88110993
"239" -0.031975196 -3.87963068
"240" -0.029926439 -3.87815137
"241" -0.0278784 -3.876672
"242" -0.0258310790000001 -3.87519257
"243" -0.0237844760000001 -3.87371308
"244" -0.0217385910000001 -3.87223353
"245" -0.019693424 -3.87075392
"246" -0.0176489750000001 -3.86927425
"247" -0.015605244 -3.86779452
"248" -0.0135622310000001 -3.86631473
"249" -0.011519936 -3.86483488
"250" -0.00947835900000001 -3.86335497
"251" -0.00743750000000002 -3.861875
"252" -0.00539735900000007 -3.86039497
"253" -0.00335793600000002 -3.85891488
"254" -0.00131923099999996 -3.85743473
"255" 0.000718755999999966 -3.85595452
"256" 0.00275602499999992 -3.85447425
"257" 0.00479257600000001 -3.85299392
